"Date","Ship","Tons","Nationality","U.Boat","Commander","Fate","Latitude","Longitude"
1939-10-13,"Heronspool",5202,"UK","U-48","Herbert Schultze","Sunk",-14.8,50.2166666666667
1939-10-12,"Emile Miguet",14115,"France","U-48","Herbert Schultze","Sunk",-14.8333333333333,50.25
1939-10-13,"Louisiane",6903,"France","U-48","Herbert Schultze","Sunk",-15.3333333333333,50.2333333333333
1939-10-14,"Sneaton",3677,"UK","U-48","Herbert Schultze","Sunk",-13.0833333333333,49.0833333333333
1939-10-14,"Lochavon",9205,"UK","U-45","Alexander Gelhaar","Sunk",-13.1666666666667,50.4166666666667
1939-10-14,"Bretagne",10108,"France","U-45","Alexander Gelhaar","Sunk",-12.75,50.3333333333333
1939-10-14,"HMS Royal Oak (08)",29150,"UK","U-47","Günther Prien","Sunk",-2.98333333333333,58.9166666666667
1939-10-15,"Vermont",5186,"France","U-37","Werner Hartmann","Sunk",-17.3666666666667,48.0166666666667
1939-10-17,"City of Mandalay",7028,"UK","U-46","Herbert Sohler","Sunk",-13.6,44.95
1939-10-17,"Clan Chisholm",7256,"UK","U-48","Herbert Schultze","Sunk",-13.6666666666667,44.95
1939-10-17,"Yorkshire",10183,"UK","U-37","Werner Hartmann","Sunk",-14.5166666666667,44.8666666666667
1939-10-20,"Gustaf Adolf",926,"Sweden","U-34","Wilhelm Rollmann","Sunk",0.8,61
1939-10-20,"Sea Venture",2327,"UK","U-34","Wilhelm Rollmann","Sunk",0.25,60.8333333333333
1939-10-21,"Orsa",1478,"UK","U-15","Heinz Buchholz","Sunk",0.116666666666667,53.9
1939-10-21,"Capitaine Edmond Laborie",3087,"France","U-19","Hans Meckel","Sunk",0.633333333333333,53.3166666666667
1939-10-21,"Deodata",3295,"Norway","U-19","Hans Meckel","Sunk",0.633333333333333,53.3333333333333
1939-10-24,"Menin Ridge",2474,"UK","U-37","Werner Hartmann","Sunk",-7.36666666666667,36.0166666666667
1939-10-24,"Ledbury",3528,"UK","U-37","Werner Hartmann","Sunk",-7.36666666666667,36.0166666666667
1939-10-24,"Tafna",4413,"UK","U-37","Werner Hartmann","Sunk",-7.38333333333333,35.7333333333333
1939-10-24,"Konstantinos Hadjipateras",5962,"Greece","U-19","Hans Meckel","Sunk",0.616666666666667,53.3
1939-10-27,"Bronte",5317,"UK","U-34","Wilhelm Rollmann","Sunk",-12.25,49.5
1939-10-28,"Lynx II",250,"UK","U-59","Harald Jürst","Sunk",-4.33333333333333,59.8333333333333
1939-10-28,"St. Nidan",565,"UK","U-59","Harald Jürst","Sunk",-4.33333333333333,59.8333333333333
1939-10-29,"Malabar",7976,"UK","U-34","Wilhelm Rollmann","Sunk",-7.61666666666667,49.95
1939-10-30,"HMS Northern Rover (4.58)",655,"UK","U-59","Harald Jürst","Sunk",-4.4,59.95
1939-10-30,"Thrasyvoulos",3693,"Greece","U-37","Werner Hartmann","Sunk",-11.3,49.4166666666667
1939-10-30,"Cairnmona",4666,"UK","U-13","Karl Daublebsky von Eichhain","Sunk",-1.75,57.6333333333333
1939-10-31,"BaoulÃ©",5874,"France","U-25","Viktor Schütze","Sunk",-9.13333333333333,43.8
1939-11-09,"Carmarthen Coast",961,"UK","U-24","Harald Jeppener-Haltenhoff","Sunk",-1.26666666666667,54.85
1939-11-09,"Snar",3176,"Norway","U-34","Wilhelm Rollmann","Captured",NA,NA
1939-11-12,"Cresswell",275,"UK","U-41","Gustav-Adolf Mugler","Sunk",-7.91666666666667,58.5333333333333
1939-11-13,"Loire",4285,"France","U-26","Klaus Ewerth","Sunk",-2.21666666666667,36.2666666666667
1939-11-12,"Arne KjÃ¸de",11019,"Norway","U-41","Gustav-Adolf Mugler","Sunk",-8.11666666666667,58.85
1939-11-16,"Arlington Court",4915,"UK","U-43","Wilhelm Ambrosius","Sunk",-11.7,48.2333333333333
1939-11-17,"Kaunas",1566,"Lithuania","U-57","Claus Korth","Sunk",2.5,52.0833333333333
1939-11-17,"Sliedrecht",5133,"Netherlands","U-28","Günter Kuhnke","Sunk",NA,NA
1939-11-18,"Wigmore",345,"UK","U-22","Karl-Heinrich Jenisch","Sunk",-2.3,57.9833333333333
1939-11-18,"Parkhill",500,"UK","U-18","Max-Hermann Bauer","Sunk",-2.3,58.1166666666667
1939-11-18,"Carica Milica",6371,"Yugoslavia","U-19","Wilhelm Müller-Arnecke","Sunk",1.68333333333333,52.0833333333333
1939-11-19,"Bowling",793,"UK","U-13","Heinz Scheringer","Sunk",-1.58333333333333,55.75
1939-11-19,"Darino",1351,"UK","U-41","Gustav-Adolf Mugler","Sunk",-11.1166666666667,44.2
1939-11-19,"Stanbrook",1383,"UK","U-57","Claus Korth","Sunk",NA,NA
1939-11-19,"Pensilva",4258,"UK","U-49","Kurt von Gossler","Sunk",-11.6,46.85
1939-11-21,"Ste. Claire",57,"France","U-16","Horst Wellner","Sunk",NA,NA
1939-11-20,"Delphine",250,"UK","U-33","Hans-Wilhelm von Dresky","Sunk",NA,NA
1939-11-20,"Thomas Hankins",276,"UK","U-33","Hans-Wilhelm von Dresky","Sunk",NA,NA
1939-11-20,"Sea Sweeper",329,"UK","U-33","Hans-Wilhelm von Dresky","Sunk",NA,NA
1939-11-21,"William Humphries",276,"UK","U-33","Hans-Wilhelm von Dresky","Sunk",NA,NA
1939-11-21,"Sulby",287,"UK","U-33","Hans-Wilhelm von Dresky","Sunk",NA,NA
1939-11-21,"Les Barges II",296,"France","U-41","Gustav-Adolf Mugler","Sunk",-3.36666666666667,45.5833333333333
1939-11-21,"HMS Belfast (35)",11500,"UK","U-21","Fritz Frauenheim","Damaged",-2.91666666666667,56.1
1939-11-22,"Arijon",4374,"France","U-43","Wilhelm Ambrosius","Sunk",-4.83333333333333,45.6666666666667
1939-11-22,"Elena R.",4576,"Greece","U-26","Klaus Ewerth","Sunk",-2.35,50.5
1939-11-23,"Borkum",3670,"Germany","U-33","Hans-Wilhelm von Dresky","Total.Loss",-3.95,59.55
1939-11-25,"Uskmouth",2483,"UK","U-43","Wilhelm Ambrosius","Sunk",-11.45,43.3666666666667
1939-11-25,"Royston Grange",5144,"UK","U-28","Günter Kuhnke","Sunk",-9,49.25
1939-11-27,"Gustaf E. Reuter",6336,"Sweden","U-48","Herbert Schultze","Sunk",-2.05,59.6333333333333
1939-11-29,"Ionian",3114,"UK","U-20","Karl-Heinz Moehle","Sunk",1.93333333333333,52.75
1939-12-01,"Arcturus",1277,"Norway","U-31","Johannes Habekost","Sunk",NA,NA
1939-12-01,"Mercator",4260,"Finland","U-21","Fritz Frauenheim","Sunk",-1.58333333333333,57.4166666666667
1939-12-03,"Rudolf",2119,"Sweden","U-56","Wilhelm Zahn","Sunk",-1.41666666666667,56.25
1939-12-03,"Ove Toft",2135,"Denmark","U-31","Johannes Habekost","Sunk",-0.766666666666667,55.6
1939-12-04,"Primula",1024,"Norway","U-31","Johannes Habekost","Sunk",1.83333333333333,57.25
1939-12-04,"Gimle",1271,"Norway","U-31","Johannes Habekost","Sunk",1.83333333333333,57.25
1939-12-04,"HMS Nelson (28)",33950,"UK","U-31","Johannes Habekost","Damaged",NA,NA
1939-12-05,"Navasota",8795,"UK","U-47","Günther Prien","Sunk",-10.2666666666667,50.7166666666667
1939-12-06,"HMS Washington",209,"UK","U-59","Harald Jürst","Sunk",NA,NA
1939-12-06,"Agu",1575,"Estonia","U-31","Johannes Habekost","Sunk",0.583333333333333,56.05
1939-12-06,"Vinga",1974,"Sweden","U-31","Johannes Habekost","Sunk",1.13333333333333,56.4166666666667
1939-12-06,"Britta",6214,"Norway","U-47","Günther Prien","Sunk",NA,NA
1939-12-08,"Scotia",2400,"Denmark","U-23","Otto Kretschmer","Sunk",2.28333333333333,57.5166666666667
1939-12-07,"Thomas Walton",4460,"UK","U-38","Heinrich Liebe","Sunk",14.4666666666667,67.8666666666667
1939-12-07,"Tajandoen",8159,"Netherlands","U-47","Günther Prien","Sunk",-4.85,49.15
1939-12-08,"Brandon",6668,"UK","U-48","Herbert Schultze","Sunk",-8.46666666666667,50.4666666666667
1939-12-09,"Magnus",1339,"Denmark","U-20","Karl-Heinz Moehle","Sunk",-0.583333333333333,57.8
1939-12-09,"San Alberto",7397,"UK","U-48","Herbert Schultze","Sunk",-9.75,49.3333333333333
1939-12-10,"FÃ¸ina",1674,"Norway","U-20","Karl-Heinz Moehle","Sunk",NA,NA
1939-12-10,"Willowpool",4815,"UK","U-20","Karl-Heinz Moehle","Sunk",1.85,52.8833333333333
1939-12-11,"Garoufalia",4708,"Greece","U-38","Heinrich Liebe","Sunk",10.7,64.6
1939-12-12,"Marwick Head",496,"UK","U-59","Harald Jürst","Sunk",NA,NA
1939-12-13,"Mina",1173,"Estonia","U-57","Claus Korth","Sunk",NA,NA
1939-12-13,"Deptford",4101,"UK","U-38","Heinrich Liebe","Sunk",5.13333333333333,62.25
1939-12-15,"Germaine",5217,"Greece","U-48","Herbert Schultze","Sunk",-12.3,51
1939-12-16,"Lister",1366,"Sweden","U-59","Harald Jürst","Sunk",1.55,55.2166666666667
1939-12-16,"Glitrefjell",1568,"Norway","U-59","Harald Jürst","Sunk",1.06666666666667,56.2333333333333
1939-12-17,"BogÃ¸",1214,"Denmark","U-59","Harald Jürst","Sunk",-0.283333333333333,56.2
1939-12-17,"Jaegersborg",1245,"Denmark","U-59","Harald Jürst","Sunk",NA,NA
1939-12-19,"City of Kobe",4373,"UK","U-60","Georg Schewe","Sunk",1.98333333333333,52.5833333333333
1939-12-20,"Mars",1877,"Sweden","U-22","Karl-Heinrich Jenisch","Sunk",NA,NA
1939-12-21,"HMS Bayonet (Z 05)",605,"UK","U-21","Fritz Frauenheim","Sunk",NA,NA
1939-12-21,"Rudolf",924,"Norway","U-46","Herbert Sohler","Sunk",1.53333333333333,58.1166666666667
1939-12-21,"Carl Henckel",1352,"Sweden","U-21","Fritz Frauenheim","Sunk",0.283333333333333,57
1939-12-21,"Mars",1475,"Sweden","U-21","Fritz Frauenheim","Sunk",0.333333333333333,57
1939-12-22,"Gryfevale",4434,"UK","U-61","Jürgen Oesten","Damaged",NA,NA
1939-12-23,"HMS Promotive",78,"UK","U-31","Johannes Habekost","Sunk",NA,NA
1939-12-23,"HMS Glen Albyn",82,"UK","U-31","Johannes Habekost","Sunk",NA,NA
1939-12-25,"HMS Loch Doon (FY 127)",534,"UK","U-22","Karl-Heinrich Jenisch","Sunk",-1.35,55.1333333333333
1939-12-25,"Stanholme",2473,"UK","U-33","Hans-Wilhelm von Dresky","Sunk",-3.65,51.3333333333333
1939-12-28,"Resercho",258,"UK","U-15","Heinz Buchholz","Sunk",NA,NA
1939-12-28,"HMS Barbara Robertson",325,"UK","U-30","Fritz-Julius Lemp","Sunk",NA,NA
1939-12-28,"Hanne",1080,"Denmark","U-22","Karl-Heinrich Jenisch","Sunk",NA,NA
1939-12-31,"Luna",959,"Norway","U-32","Paul Büchel","Sunk",3.33333333333333,58.8
1940-01-01,"Lars Magnus Trozelli",1951,"Sweden","U-58","Herbert Kuppisch","Sunk",-1.6,58.2333333333333
1940-01-03,"SvartÃ¶n",2475,"Sweden","U-58","Herbert Kuppisch","Sunk",-1.78333333333333,57.8
1940-01-09,"Manx",1343,"Norway","U-19","Joachim Schepke","Sunk",-1.55,58.5
1940-01-11,"Fredville",1150,"Norway","U-23","Otto Kretschmer","Sunk",-1.16666666666667,58.4166666666667
1940-01-11,"El Oso",7267,"UK","U-30","Fritz-Julius Lemp","Sunk",-3.41666666666667,53.5333333333333
1940-01-12,"Danmark",10517,"Denmark","U-23","Otto Kretschmer","Total.Loss",-2.88333333333333,58.9833333333333
1940-01-13,"Sylvia",1524,"Sweden","U-20","Karl-Heinz Moehle","Sunk",-1.2,58.75
1940-01-15,"Fagerheim",1590,"Norway","U-44","Ludwig Mathes","Sunk",-6.26666666666667,47.3333333333333
1940-01-16,"Gracia",5642,"UK","U-30","Fritz-Julius Lemp","Damaged",NA,NA
1940-01-15,"Arendskerk",7906,"Netherlands","U-44","Ludwig Mathes","Sunk",-6.56666666666667,46.9166666666667
1940-01-16,"Panachrandos",4661,"Greece","U-44","Ludwig Mathes","Sunk",-9.16666666666667,48.5
1940-01-16,"Inverdargle",9456,"UK","U-33","Hans-Wilhelm von Dresky","Sunk",-3.71666666666667,51.2666666666667
1940-01-17,"Enid",1140,"Norway","U-25","Viktor Schütze","Sunk",-0.883333333333333,60.9666666666667
1940-01-17,"Polzella",4751,"UK","U-25","Viktor Schütze","Sunk",NA,NA
1940-01-17,"Cairnross",5494,"UK","U-30","Fritz-Julius Lemp","Sunk",-3.45,53.5333333333333
1940-01-18,"Flandria",1179,"Sweden","U-9","Wolfgang Lüth","Sunk",3.66666666666667,54
1940-01-18,"Foxen",1304,"Sweden","U-55","Werner Heidel","Sunk",-0.366666666666667,58.8666666666667
1940-01-18,"Canadian Reefer",1831,"Denmark","U-44","Ludwig Mathes","Sunk",NA,NA
1940-01-18,"Pajala",6873,"Sweden","U-25","Viktor Schütze","Sunk",-5.93333333333333,59.0833333333333
1940-01-19,"Patria",1188,"Sweden","U-9","Wolfgang Lüth","Sunk",3.5,54.2666666666667
1940-01-19,"Quiberon",1296,"France","U-59","Harald Jürst","Sunk",NA,NA
1940-01-19,"Telnes",1694,"Norway","U-55","Werner Heidel","Sunk",NA,NA
1940-01-20,"Miranda",1328,"Norway","U-57","Claus Korth","Sunk",-2.08333333333333,58.2333333333333
1940-01-20,"Ekatontarchos Dracoulis",5329,"Greece","U-44","Ludwig Mathes","Sunk",-10.1166666666667,40.3333333333333
1940-01-20,"Caroni River",7807,"UK","U-34","Wilhelm Rollmann","Sunk",-5.01666666666667,50.1
1940-01-21,"Ferryhill",1086,"UK","U-22","Karl-Heinrich Jenisch","Sunk",-1.45,55.0833333333333
1940-01-23,"Andalusia",1357,"Sweden","U-55","Werner Heidel","Sunk",NA,NA
1940-01-21,"Tekla",1469,"Denmark","U-22","Karl-Heinrich Jenisch","Sunk",-2.41666666666667,58.3
1940-01-21,"HMS Exmouth (H 02)",1475,"UK","U-22","Karl-Heinrich Jenisch","Sunk",-2.41666666666667,58.3
1940-01-21,"Protesilaus",9577,"UK","U-28","Günter Kuhnke","Total.Loss",-4.06666666666667,51.5166666666667
1940-01-24,"Varild",1085,"Norway","U-23","Otto Kretschmer","Sunk",NA,NA
1940-01-22,"Segovia",1387,"Norway","U-55","Werner Heidel","Sunk",NA,NA
1940-01-22,"Gothia",1640,"Sweden","U-51","Dietrich Knorr","Sunk",-9.83333333333333,57.7666666666667
1940-01-22,"Sydfold",2434,"Norway","U-61","Jürgen Oesten","Sunk",-0.5,58.6666666666667
1940-01-22,"Songa",2589,"Norway","U-25","Viktor Schütze","Sunk",NA,NA
1940-01-23,"Onto",1333,"Finland","U-56","Wilhelm Zahn","Sunk",NA,NA
1940-01-23,"Baltanglia",1523,"UK","U-19","Joachim Schepke","Sunk",-1.45,55.5833333333333
1940-01-23,"Pluto",1598,"Norway","U-19","Joachim Schepke","Sunk",-1.45,55.5833333333333
1940-01-23,"Bisp",1000,"Norway","U-18","Ernst Mengersen","Sunk",NA,NA
1940-01-24,"Alsacien",3819,"France","U-44","Ludwig Mathes","Sunk",-9.9,39.0166666666667
1940-01-25,"Gudveig",1300,"Norway","U-19","Joachim Schepke","Sunk",-1.5,55.7
1940-01-25,"Biarritz",1752,"Norway","U-14","Herbert Wohlfarth","Sunk",4.25,52.65
1940-01-25,"Tourny",2769,"France","U-44","Ludwig Mathes","Sunk",-9.36666666666667,41.0833333333333
1940-01-25,"Everene",4434,"Latvia","U-19","Joachim Schepke","Sunk",-1.5,55.7
1940-01-26,"HMS Durham Castle",8240,"UK","U-57","Claus Korth","Sunk",NA,NA
1940-01-27,"Faro",844,"Norway","U-20","Harro von Klot-Heydenfeldt","Total.Loss",-2.76666666666667,58.9166666666667
1940-01-27,"Hosanger",1591,"Norway","U-20","Harro von Klot-Heydenfeldt","Sunk",-1.88333333333333,58.4166666666667
1940-01-27,"Fredensborg",2094,"Denmark","U-20","Harro von Klot-Heydenfeldt","Sunk",-1.88333333333333,58.4166666666667
1940-01-27,"England",2319,"Denmark","U-20","Harro von Klot-Heydenfeldt","Sunk",-1.88333333333333,58.4166666666667
1940-01-28,"Eston",1487,"UK","U-22","Karl-Heinrich Jenisch","Sunk",-1.4,55.05
1940-01-28,"Flora",2980,"Greece","U-44","Ludwig Mathes","Sunk",NA,NA
1940-01-28,"Eleni Stathatou",5625,"Greece","U-34","Wilhelm Rollmann","Sunk",-8.56666666666667,48.8166666666667
1940-01-29,"Eika",1503,"Norway","U-51","Dietrich Knorr","Sunk",-10,50
1940-01-30,"Vaclite",5026,"UK","U-55","Werner Heidel","Sunk",-7.06666666666667,49.3333333333333
1940-01-30,"Keramiai",5085,"Greece","U-55","Werner Heidel","Sunk",-7.76666666666667,48.6166666666667
1940-01-31,"Start",1168,"Norway","U-13","Max-Martin Schulte","Sunk",NA,NA
1940-01-31,"Vidar",1353,"Denmark","U-21","Wolf-Harro Stiebler","Sunk",2,58.65
1940-02-01,"Ellen M.",498,"UK","U-59","Harald Jürst","Sunk",2.25,52.55
1940-02-01,"Fram",2491,"Sweden","U-13","Max-Martin Schulte","Sunk",-2.1,57.7166666666667
1940-02-02,"Creofield",838,"UK","U-59","Harald Jürst","Sunk",2.41666666666667,52.55
1940-02-02,"Portelet",1064,"UK","U-59","Harald Jürst","Sunk",2.21666666666667,52.6666666666667
1940-02-03,"Reet",815,"Estonia","U-58","Herbert Kuppisch","Sunk",NA,NA
1940-02-03,"Armanistan",6805,"UK","U-25","Viktor Schütze","Sunk",-11.25,38.25
1940-02-04,"Hop",1365,"Norway","U-37","Werner Hartmann","Sunk",-0.233333333333333,58.9166666666667
1940-02-04,"Leo Dawson",4330,"UK","U-37","Werner Hartmann","Sunk",-0.65,60.1666666666667
1940-02-05,"Ceronia",8096,"Netherlands","U-41","Gustav-Adolf Mugler","Damaged",-8.56666666666667,49.2333333333333
1940-02-05,"Beaverburn",9874,"UK","U-41","Gustav-Adolf Mugler","Sunk",-10.1166666666667,49.3333333333333
1940-02-06,"Anu",1421,"Estonia","U-13","Heinz Scheringer","Sunk",NA,NA
1940-02-07,"Munster",4305,"UK","U-30","Fritz-Julius Lemp","Sunk",-3.4,53.6
1940-02-09,"Chagres",5406,"UK","U-30","Fritz-Julius Lemp","Sunk",NA,NA
1940-02-10,"Silja",1259,"Norway","U-37","Werner Hartmann","Sunk",-11.5333333333333,51.35
1940-02-10,"Burgerdijk",6853,"Netherlands","U-48","Herbert Schultze","Sunk",-6.5,49.75
1940-02-11,"Togimo",290,"UK","U-37","Werner Hartmann","Sunk",-11.0333333333333,50.6666666666667
1940-02-11,"Linda",1213,"Estonia","U-9","Wolfgang Lüth","Sunk",1.9,58.85
1940-02-11,"Orania",1854,"Sweden","U-50","Max-Hermann Bauer","Sunk",NA,NA
1940-02-11,"Snestad",4114,"Norway","U-53","Harald Grosse","Sunk",-13.6666666666667,58.6666666666667
1940-02-12,"Nidarholm",3482,"Norway","U-26","Heinz Scheringer","Sunk",-14.1666666666667,50.8333333333333
1940-02-12,"DalarÃ¶",3927,"Sweden","U-53","Harald Grosse","Sunk",-11.7333333333333,56.7333333333333
1940-02-13,"Norna",1022,"Sweden","U-53","Harald Grosse","Sunk",-11,55.5
1940-02-13,"Chastine MÃ¦rsk",5177,"Denmark","U-25","Viktor Schütze","Sunk",2,61.5
1940-02-14,"Martin Goldschmidt",2095,"Denmark","U-53","Harald Grosse","Sunk",-12.6166666666667,55.8833333333333
1940-02-14,"Langleeford",4622,"UK","U-26","Heinz Scheringer","Sunk",-12.6666666666667,51.6666666666667
1940-02-14,"Gretafield",10191,"UK","U-57","Claus Korth","Total.Loss",-2.55,58.45
1940-02-14,"Sultan Star",12306,"UK","U-48","Herbert Schultze","Sunk",-10.05,48.9
1940-02-15,"Sleipner",1066,"Denmark","U-14","Herbert Wohlfarth","Sunk",-1.76666666666667,58.3
1940-02-15,"Aase",1206,"Denmark","U-37","Werner Hartmann","Sunk",-8.25,49.2833333333333
1940-02-15,"Steinstad",2477,"Norway","U-26","Heinz Scheringer","Sunk",NA,NA
1940-02-15,"Maryland",4895,"Denmark","U-50","Max-Hermann Bauer","Sunk",-12,57.15
1940-02-15,"Den Haag",8971,"Netherlands","U-48","Herbert Schultze","Sunk",-8.43333333333333,48.0333333333333
1940-02-16,"Rhone",1064,"Denmark","U-14","Herbert Wohlfarth","Sunk",-1.76666666666667,58.3
1940-02-16,"Osmed",1526,"Sweden","U-14","Herbert Wohlfarth","Sunk",NA,NA
1940-02-16,"Liana",1646,"Sweden","U-14","Herbert Wohlfarth","Sunk",NA,NA
1940-02-17,"Kvernaas",1819,"Norway","U-10","Joachim Preuss","Sunk",3.31666666666667,51.8333333333333
1940-02-17,"Wilja",3396,"Finland","U-48","Herbert Schultze","Sunk",-6.55,49
1940-02-17,"Pyrrhus",7418,"UK","U-37","Werner Hartmann","Sunk",-10.3,44.0333333333333
1940-02-18,"HMS Daring (H 16)",1375,"UK","U-23","Otto Kretschmer","Sunk",-1.58333333333333,58.6666666666667
1940-02-18,"El Sonador",1406,"Panama","U-61","Jürgen Oesten","Sunk",NA,NA
1940-02-18,"Banderas",2140,"Spain","U-53","Harald Grosse","Sunk",NA,NA
1940-02-18,"P.L.M. 15",3754,"France","U-37","Werner Hartmann","Sunk",-9.25,43.6166666666667
